x1,x2,x3,y
-98,-6,-54,-248
-48,-64,26,158
-42,-90,22,204
29,-70,-37,58
58,44,90,240
-78,55,31,-95
21,-75,-66,-27
85,39,-6,-11
-34,-52,-51,-83
-41,-22,-85,-252
-19,88,9,-168
-51,-71,16,139
-95,87,-77,-500
-61,13,7,-66
-79,2,-56,-251
-98,-80,-46,-76
47,-14,29,162
44,55,-98,-360
-30,57,-41,-267
-41,-85,32,225
-31,-46,42,187
24,95,-96,-454
45,37,62,157
70,46,-37,-133
-56,-7,-6,-60
-53,-67,-24,9
-97,-21,14,-13
-1,-90,-40,59
4,-81,-51,13
73,74,84,177
41,56,38,43
31,-55,-23,72
7,-67,-1,138
-80,32,-34,-246
92,5,-34,-20
43,-18,-88,-185
90,-37,74,386
-64,78,36,-112
46,32,57,153
84,-1,1,89
-16,-89,-92,-114
-84,-83,-57,-89
9,-2,-44,-119
-13,77,-63,-356
-66,70,93,73
-34,96,-93,-505
-78,-30,54,144
-39,31,48,43
-12,-17,79,259
-37,37,17,-60
78,-74,88,490
70,-55,57,351
2,-62,42,252
-14,-100,62,372
39,6,97,318
1,-14,65,224
30,-33,80,336
34,7,-8,-4
-9,47,91,170
29,95,0,-161
44,-12,-66,-130
-68,83,62,-48
-15,19,45,82
44,49,-30,-144
-22,-3,-72,-232
-97,-31,-25,-110
-71,-94,-56,-51
72,39,-37,-117
-79,-83,-58,-87
61,27,42,133
42,-38,-47,-23
22,38,-66,-252
45,20,-75,-220
-79,-43,12,43
-66,66,-22,-264
83,76,-52,-225
62,63,37,47
2,-56,-45,-21
85,65,55,120
85,29,-69,-180
93,-29,-57,-20
-28,58,2,-138
0,-61,-7,101
-87,49,-15,-230
-88,24,-83,-385
68,36,-31,-97
0,-10,100,320
80,-56,-17,141
-53,87,-30,-317
-83,4,-3,-100
-81,-47,94,295
-67,-75,63,272
-9,82,51,-20
73,-39,-78,-83
41,-77,-99,-102
-51,40,-99,-428
-16,95,0,-206
27,16,-68,-209
30,91,-51,-305
87,-6,84,351
-25,-24,71,236
27,50,-10,-103
48,-42,4,144
7,55,-98,-397
41,75,2,-103
-74,84,-23,-311
-7,38,92,193
26,51,45,59
-82,-15,16,-4
28,96,60,16
-56,-34,-86,-246
66,-68,-5,187
-17,-44,-23,2
31,-74,34,281
70,-80,40,350
-77,-76,50,225
-90,21,99,165
27,78,-60,-309
-95,64,17,-172
-84,-24,-13,-75
80,-36,-82,-94
-68,-61,-56,-114
68,94,-88,-384
27,-16,73,278
-38,93,-16,-272
47,-4,0,55
-10,81,-52,-328
28,80,62,54
42,-80,-20,142
0,-82,-3,155
-89,-12,6,-47
-64,31,-28,-210
73,51,-67,-230
-73,98,-44,-401
-15,-54,-33,-6
-52,-16,-24,-92
5,25,-95,-330
-71,33,-78,-371
36,-5,84,298
-24,41,-21,-169
99,35,98,323
-90,4,2,-92
3,-46,-11,62
-76,97,-72,-486
41,-1,41,166
43,-93,86,487
-87,63,80,27
45,37,71,184
-77,12,-30,-191
-72,-82,-67,-109
-43,78,-99,-496
-22,86,-24,-266
-96,-6,75,141
32,90,79,89
-45,69,-74,-405
58,-65,-69,-19
-12,-68,-90,-146
58,-10,2,84
87,24,-5,24
70,-76,46,360
-35,30,-44,-227
86,-51,-57,17
21,11,55,164
96,-62,-33,121
100,67,-20,-94
-13,-26,-100,-261
-75,59,91,80
31,-16,80,303
-49,58,-40,-285
40,-76,5,207
93,-37,-92,-109
74,-67,43,337
33,-49,78,365
-89,88,56,-97
-23,-58,-43,-36
85,39,-15,-38
-78,94,6,-248
-29,-6,-89,-284
-16,100,62,-30
70,34,-48,-142
9,-52,-47,-28
6,55,76,124
30,23,85,239
61,81,-35,-206
69,-60,-27,108
-97,48,-31,-286
-19,29,89,190
15,55,49,52
-82,-64,-74,-176
87,-83,-95,-32
21,-29,94,361
-40,-95,27,231
44,53,-8,-86
-74,31,-15,-181
43,-73,-11,156
85,28,-95,-256
95,-43,-82,-65
34,51,-37,-179
5,64,99,174
-15,-80,-56,-23
29,100,-89,-438
-72,-52,-76,-196
-15,-65,92,391
97,13,-13,32
55,28,-50,-151
47,-14,-54,-87
26,-54,-90,-136
73,-61,99,492
93,91,-81,-332
-79,-76,-77,-158
7,-92,-15,146
53,8,7,58
39,-91,-55,56
-2,35,-47,-213
-74,100,-37,-385
-8,-70,-98,-162
3,99,37,-84
5,39,-19,-130
72,48,-8,-48
74,30,-46,-124
-64,90,84,8
91,35,-7,0
70,-83,-11,203
-53,-17,15,26
-73,-95,-51,-36
56,88,-91,-393
11,-15,26,119
-100,44,-83,-437
25,36,54,115
22,-59,40,260
96,35,-62,-160
17,69,-17,-172
36,-49,-61,-49
100,-54,-57,37
45,-52,49,296
86,-92,46,408
-25,-24,43,152
11,40,96,219
-92,8,-9,-135
62,-57,-40,56
36,-84,-81,-39
24,59,-66,-292
92,-96,95,569
-47,-60,51,226
-14,29,96,216
-16,38,-59,-269
7,-46,87,360
-35,83,51,-48
80,65,-2,-56
-76,90,-83,-505
47,-50,-1,144
-50,85,12,-184
18,-90,-43,69
1,-55,19,168
78,-28,-70,-76
-45,68,53,-22
-84,-62,-29,-47
97,41,-64,-177
18,51,56,84
18,43,58,106
71,-21,52,269
-21,-40,45,194
-76,-37,-94,-284
48,99,-85,-405
28,-80,86,446
-74,39,3,-143
94,77,-76,-288
6,70,93,145
20,9,-12,-34
-66,54,-66,-372
-13,-94,70,385
-20,74,61,15
-25,53,-64,-323
20,31,96,246
65,-81,75,452
-54,-38,27,103
-26,10,-50,-196
-87,54,-66,-393
-1,-25,71,262
31,25,68,185
-62,57,-58,-350
-19,-95,96,459
11,-14,74,261
45,86,-62,-313
28,-72,-56,4
-33,-19,70,215
-5,-50,70,305
-12,34,52,76
-58,-48,68,242
-100,35,-49,-317
74,8,19,115
-78,31,-70,-350
-58,28,-50,-264
-36,-58,15,125
44,-89,-95,-63
-64,-19,-76,-254
-37,0,-60,-217
-50,66,-42,-308
-53,38,81,114
11,-53,12,153
-85,99,30,-193
-50,-95,-50,-10
-8,76,56,8
-1,-7,-51,-140
-16,-63,69,317
45,-100,92,521
-100,36,81,71
63,-3,19,126
-75,-26,10,7
57,-60,50,327
24,51,-82,-324
-74,31,69,71
7,88,40,-49
85,-15,65,310
24,-42,-14,66
29,58,62,99
30,66,-75,-327
69,0,27,150
47,-45,49,284
0,-28,22,122
-6,-34,0,62
-28,94,-4,-228
85,-5,70,305
-72,-12,-30,-138
-35,20,-29,-162
-53,-12,-57,-200
3,3,-31,-96
16,-7,40,150
-8,-57,21,169
-11,82,-59,-352
64,79,-54,-256
-27,98,13,-184
-19,5,-65,-224
-10,-38,-40,-54
-62,84,60,-50
-28,29,-69,-293
-88,19,-23,-195
-31,47,-60,-305
-48,-95,-84,-110
89,-59,-28,123
68,91,20,-54
-9,24,64,135
28,-37,39,219
-45,-64,82,329
92,55,-78,-252
27,26,53,134
-11,86,-65,-378
-20,-21,-58,-152
87,29,85,284
17,-50,19,174
51,96,44,-9
-33,-47,-51,-92
0,-14,-53,-131
66,21,13,63
78,2,42,200
-70,12,79,143
-22,-14,16,54
-37,93,79,14
48,95,-29,-229
25,52,11,-46
-36,88,8,-188
25,27,17,22
96,38,76,248
60,55,0,-50
-19,30,-23,-148
-17,81,-42,-305
89,-10,-87,-152
19,-26,-40,-49
-93,-46,-88,-265
-9,99,-77,-438
53,-95,-100,-57
-31,43,-68,-321
-16,36,97,203
-14,-45,34,178
-3,57,-14,-159
-100,1,-30,-192
-73,57,12,-151
-51,-93,-29,48
-26,-66,70,316
93,-16,-80,-115
-59,15,-34,-191
-44,25,54,68
-91,-14,-14,-105
-87,-3,23,-12
70,94,100,182
-91,88,-4,-279
-27,19,-19,-122
95,16,75,288
-56,69,-99,-491
-6,78,-82,-408
-49,3,72,161
-51,-98,32,241
-84,-60,-29,-51
92,-64,36,328
-60,-85,58,284
98,19,-8,36
49,-6,30,151
-74,-11,70,158
-97,59,88,49
-67,6,44,53
80,-3,56,254
65,84,-58,-277
88,-29,52,302
43,-33,80,349
71,5,-48,-83
30,-48,51,279
-9,35,-57,-250
20,-84,-30,98
57,-94,31,338
97,-75,-8,223
-42,-41,-9,13
44,17,83,259
23,-54,2,137
90,-27,-98,-150
100,59,-35,-123
64,-36,-54,-26
11,93,20,-115
2,25,-54,-210
35,-20,57,246
-77,-62,-68,-157
51,-17,-86,-173
-23,72,79,70
-50,57,73,55
25,22,-88,-283
-91,-93,95,380
-81,-15,73,168
-61,53,9,-140
32,-3,64,230
-65,-44,11,56
65,71,-92,-353
68,99,41,-7
-78,-30,-6,-36
94,40,-52,-142
24,-75,-12,138
-80,-19,1,-39
-4,-17,67,231
94,61,26,50
34,-21,44,208
-81,-43,-91,-268
-100,-58,2,22
-44,94,-26,-310
-11,-32,69,260
-99,-78,83,306
87,-19,-38,11
-100,-78,53,215
55,40,-3,-34
-99,82,-75,-488
-65,-35,-69,-202
9,-94,28,281
-78,-60,-100,-258
-16,39,76,134
-19,4,54,135
-90,34,-53,-317
6,-58,-51,-31
-94,-21,-20,-112
85,-16,98,411
-26,12,21,13
-56,-20,65,179
20,-34,-70,-122
100,46,-72,-208
-24,-76,-76,-100
8,-4,66,214
8,60,-68,-316
59,-45,-19,92
-62,3,89,199
96,52,-73,-227
79,99,-79,-356
81,-52,-11,152
-38,-11,-89,-283
-87,-36,9,12
98,49,93,279
97,-64,40,345
-25,-1,-56,-191
59,76,100,207
4,37,-20,-130
-68,9,-72,-302
-82,-46,47,151
56,99,-35,-247
55,43,76,197
53,-25,-38,-11
-74,89,-45,-387
-5,41,75,138
41,-27,-7,74
-90,1,34,10
-22,-28,-72,-182
56,-3,7,83
49,-26,-13,62
-20,22,-81,-307
-51,83,-54,-379
-1,-34,83,316
-24,28,-63,-269
33,-61,48,299
-28,87,48,-58
92,97,70,108
-1,8,-8,-41
80,-83,-24,174
39,-61,34,263
49,83,95,168
-34,65,-61,-347
-93,-20,-31,-146
91,37,-76,-211
-91,48,-71,-400
68,-87,70,452
38,-92,-75,-3
-79,-17,23,24
-59,81,83,28
4,-93,-19,133
-70,7,1,-81
-80,61,68,2
88,-38,63,353
-99,32,98,131
-3,-68,9,160
-60,66,45,-57
97,-42,-12,145
-19,-5,79,228
-90,78,-38,-360
60,61,39,55
56,87,87,143
-44,-86,62,314
17,-79,13,214
-64,100,97,27
67,18,48,175
-32,-26,-59,-157
51,-86,-80,-17
-41,-64,-15,42
30,78,54,36
-37,29,15,-50
-22,18,-88,-322
18,100,52,-26
70,80,-33,-189
12,8,50,146
49,-63,-3,166
73,-28,-27,48
-42,-13,49,131
-13,-27,93,320
-41,-7,-60,-207
-48,46,-94,-422
-12,-83,-9,127
73,59,100,255
13,-14,-2,35
65,85,-71,-318
24,-98,-52,64
26,-63,70,362
41,-52,-8,121
-5,59,29,-36
64,-56,37,287
42,40,-79,-275
48,-68,-65,-11
5,-18,-50,-109
22,-5,-47,-109
78,-56,-11,157
52,-69,-73,-29
76,88,-44,-232
38,-33,30,194
71,-82,29,322
61,74,6,-69
15,39,-90,-333
-100,23,89,121
-31,-29,44,159
-13,64,75,84
-20,-96,-61,-11
49,100,97,140
51,-13,35,182
-8,13,49,113
-20,83,92,90
42,-96,-92,-42
100,40,34,122
82,25,72,248
3,-6,-100,-285
-34,18,38,44
56,-3,-95,-223
7,26,-28,-129
-79,-90,75,326
19,-37,-18,39
-69,-11,58,127
-61,-42,-96,-265
15,-54,16,171
84,62,-41,-163
37,-95,82,473
68,71,-55,-239
-33,16,78,169
64,5,99,351
-63,45,48,-9
-27,-4,-3,-28
-98,-32,15,11
45,51,-42,-183
17,50,48,61
2,15,-66,-226
-50,-78,-2,100
22,-33,-26,10
-32,-17,54,164
-67,-46,-7,4
-93,-60,-5,12
80,-84,36,356
69,71,-92,-349
39,73,-15,-152
48,44,82,206
55,38,-41,-144
-68,25,-4,-130
-44,-40,68,240
73,-5,-74,-139
-88,-92,29,183
-17,26,44,63
15,-54,-94,-159
26,67,90,162
64,33,72,214
40,-32,74,326
-6,58,-97,-413
-28,60,57,23
-94,33,38,-46
-83,-65,92,323
-98,-94,89,357
1,-74,70,359
-59,-75,36,199
11,41,-35,-176
32,55,-64,-270
-86,-80,-14,32
55,-85,96,513
95,-56,4,219
94,-62,-18,164
79,-67,99,510
88,82,48,68
20,94,-3,-177
-20,68,46,-18
42,-98,75,463
33,60,9,-60
-73,75,-81,-466
19,-87,77,424
-7,-25,-36,-65
-28,8,84,208
-86,61,-97,-499
-29,-23,86,275
-93,14,72,95
71,46,-76,-249
-98,80,10,-228
68,97,-64,-318
54,28,-16,-50
-40,-8,79,213
24,-88,-48,56
-66,-58,37,161
6,34,51,91
-19,-65,50,261
-23,45,83,136
-91,-60,21,92
32,22,17,39
64,-7,11,111
-94,57,-73,-427
-2,14,-28,-114
-28,1,-10,-60
-24,-23,86,280
91,-78,-64,55
-84,46,-39,-293
-82,-17,-53,-207
-3,-98,61,376
-98,24,88,118
54,94,-78,-368
-73,-70,6,85
28,36,-27,-125
-57,-39,53,180
35,36,52,119
-94,42,-66,-376
-20,-46,-66,-126
10,49,-49,-235
-6,93,-81,-435
61,19,-95,-262
7,-82,-79,-66
-25,76,-7,-198
64,-90,-97,-47
33,-30,-7,72
-93,4,26,-23
82,-78,-83,-11
93,-14,96,409
-15,48,-49,-258
-82,7,65,99
-9,7,-19,-80
-31,-74,-15,72
-10,33,1,-73
-45,-24,-88,-261
38,73,-4,-120
-30,43,11,-83
18,-30,-43,-51
77,-29,-26,57
89,-81,-30,161
-5,80,-12,-201
95,17,18,115
48,98,62,38
-27,-11,46,133
-43,-95,-18,93
89,-8,-56,-63
82,17,-100,-252
-87,-3,-29,-168
79,8,-82,-183
-1,43,-10,-117
-40,-30,-94,-262
-49,23,-65,-290
-22,13,-83,-297
15,62,62,77
81,93,9,-78
76,-72,-87,-41
34,88,-10,-172
93,-71,84,487
37,-82,-67,0
-1,-41,94,363
-19,-88,78,391
-56,-32,65,203
32,-86,-34,102
-46,-31,7,37
3,-32,-69,-140
75,-16,20,167
-15,-25,46,173
-80,40,-81,-403
-86,79,97,47
71,-16,35,208
43,-96,-41,112
53,65,53,82
5,50,54,67
22,-86,-83,-55
-88,-78,12,104
66,72,-43,-207
-62,-97,-55,-33
-9,93,78,39
59,76,75,132
-21,-22,-63,-166
-58,75,37,-97
61,-9,-86,-179
-30,8,86,212
36,94,-40,-272
18,-43,84,356
-88,17,10,-92
96,-37,-42,44
15,94,16,-125
86,-41,60,348
55,16,7,44
-47,32,2,-105
-84,-63,87,303
45,-39,97,414
70,-37,68,348
-18,78,-19,-231
11,-49,-53,-50
87,-61,93,488
20,-44,-91,-165
-5,39,-81,-326
45,-37,75,344
69,64,33,40
-97,-36,25,50
16,-88,-91,-81
-13,16,-98,-339
44,98,-47,-293
9,77,-24,-217
-2,9,31,73
-100,-68,12,72
0,100,-41,-323
63,-75,-86,-45
96,-78,-32,156
40,-24,-90,-182
-23,-2,24,53
-59,62,83,66
-43,-78,-87,-148
-90,-42,-3,-15
-3,-89,-16,127
-20,27,91,199
-27,-52,-45,-58
99,-18,63,324
-73,-34,60,175
14,1,-16,-36
-4,-4,52,160
-65,-43,91,294
89,-48,-100,-115
-21,2,64,167
64,-73,-68,6
-65,76,-60,-397
8,66,44,8
-98,-25,9,-21
49,41,-7,-54
71,90,-98,-403
58,-4,-43,-63
-3,68,-60,-319
-19,-26,60,213
-72,-1,34,32
68,15,21,101
-72,-50,43,157
70,35,37,111
35,-72,-2,173
-85,-60,54,197
-51,-91,-78,-103
-89,18,38,-11
-87,46,64,13
-54,98,-51,-403
-39,-87,-20,75
-56,55,43,-37
3,-3,80,249
43,-60,51,316
100,50,-33,-99
-45,7,-75,-284
46,31,68,188
-69,-33,28,81
77,-73,-67,22
-33,-4,7,-4
-29,17,2,-57
17,-70,-97,-134
-87,93,-61,-456
19,-88,8,219
58,71,53,75
27,-85,-45,62
-99,98,100,5
-75,-80,76,313
7,16,19,32
-72,31,11,-101
3,5,-92,-283
18,94,-62,-356
-43,-55,97,358
-80,-64,-21,-15
93,-64,-86,-37
-32,95,69,-15
93,29,30,125
-67,-25,-66,-215
-67,-13,46,97
77,56,-77,-266
-47,-79,25,186
55,-23,90,371
27,-70,47,308
-29,64,11,-124
5,-26,-88,-207
40,-72,50,334
22,66,-74,-332
-77,12,-91,-374
-23,88,-73,-418
-18,70,68,46
-29,13,46,83
77,0,79,314
-50,86,100,78
82,7,73,287
99,88,94,205
99,-12,-58,-51
-36,13,-75,-287
1,53,-4,-117
41,35,-31,-122
39,-1,94,323
11,84,-9,-184
75,82,-42,-215
0,-66,-20,72
97,45,-96,-281
84,7,34,172
33,-59,92,427
50,-60,-76,-58
91,57,33,76
75,8,40,179
-75,59,-78,-427
-56,14,-84,-336
-96,37,-52,-326
21,-16,-92,-223
45,78,-53,-270
81,81,-30,-171
92,68,29,43
-68,17,87,159
5,12,100,281
57,-86,-2,223
-39,35,-51,-262
-88,64,-10,-246
27,15,90,267
-19,-72,-64,-67
-91,1,61,90
-19,39,75,128
-20,35,-83,-339
-88,58,67,-3
36,12,-52,-144
6,38,-56,-238
42,27,-18,-66
-86,74,-68,-438
-36,87,-28,-294
-19,45,62,77
-71,80,-25,-306
-66,92,100,50
-19,35,-2,-95
-97,26,32,-53
100,79,88,206
-23,-70,-97,-174
70,34,95,287
-33,78,99,108
-91,8,-94,-389
56,82,-15,-153
66,-31,-58,-46
36,55,94,208
-38,-67,-44,-36
6,24,52,114
30,-49,-84,-124
18,-24,-80,-174
-26,-76,55,291
-75,-53,51,184
-97,71,44,-107
-43,-4,-10,-65
-74,75,73,-5
-3,-97,-17,140
93,57,-90,-291
-28,99,-80,-466
-94,90,5,-259
95,-3,7,122
9,14,-45,-154
-44,50,11,-111
-15,-40,-34,-37
-62,2,33,33
59,-64,41,310
-29,-41,-85,-202
-94,-39,-20,-76
-38,40,43,11
-2,-91,-86,-78
40,9,95,307
-82,-38,-44,-138
-90,69,48,-84
7,27,74,175
-80,-1,-67,-279
26,-45,-99,-181
-56,-17,68,182
-5,36,-51,-230
24,-8,38,154
-95,-13,80,171
13,55,82,149
30,-62,69,361
-13,40,-93,-372
18,53,-59,-265
-63,-98,66,331
79,-77,73,452
40,60,-50,-230
-52,-37,55,187
-97,-83,48,213
-78,76,-9,-257
-56,-53,44,182
-5,-42,87,340
-98,8,-11,-147
63,4,-49,-92
-75,-21,0,-33
88,-18,48,268
-41,0,-94,-323
20,-1,23,91
53,-29,9,138
-32,60,-39,-269
27,65,-28,-187
12,91,47,-29
54,-57,45,303
10,77,-93,-423
-53,47,-60,-327
45,-75,-42,69
-28,41,-43,-239
28,-94,58,390
-23,-63,90,373
-77,84,-54,-407
-79,90,1,-256
18,-35,-4,76
-43,-86,36,237
-11,88,88,77
74,80,88,178
97,-79,49,402
-91,46,26,-105
-87,41,9,-142
-76,20,59,61
-74,33,-70,-350
35,-16,61,250
86,-68,95,507
97,-5,-56,-61
26,-93,-71,-1
-25,-81,37,248
87,-46,83,428
65,-3,-32,-25
56,29,-43,-131
-28,56,1,-137
-26,-20,28,98
-67,-64,-90,-209
-31,78,43,-58
-91,-20,-37,-162
65,20,-35,-80
22,-8,70,248
16,-61,91,411
-73,57,-2,-193
-93,88,11,-236
-14,66,28,-62
-29,-97,31,258
91,31,-67,-172
-37,-99,-17,110
-55,32,74,103
62,48,7,-13
-94,33,-36,-268
20,83,-75,-371
38,97,-64,-348
0,-47,-40,-26
52,62,67,129
-90,-52,-3,5
-43,-65,54,249
29,83,-29,-224
94,-38,40,290
-45,24,-76,-321
-3,-24,33,144
19,24,12,7
-18,78,10,-144
-59,-67,-57,-96
91,68,14,-3
83,-26,-78,-99
-3,-38,40,193
-66,-7,-67,-253
-31,-58,-22,19
-33,-4,-91,-298
58,35,2,-6
23,36,-2,-55
97,33,8,55
-30,-73,-61,-67
-70,94,24,-186
56,-92,55,405
-33,82,77,34
-18,62,-71,-355
24,-64,-24,80
-51,66,-57,-354
-63,-59,82,301
8,-9,-92,-250
-32,49,-83,-379
85,68,51,102
78,89,0,-100
84,-4,23,161
19,28,52,119
-30,92,21,-151
-94,84,-93,-541
7,97,-57,-358
98,-80,64,450
18,48,-100,-378
-57,-5,-43,-176
-69,-100,40,251
-70,-80,97,381
53,-76,27,286
-69,-9,-92,-327
8,30,5,-37
-27,-16,97,296
68,64,-70,-270
-76,-85,32,190
-98,64,-31,-319
88,8,26,150
63,73,-21,-146
-12,97,95,79
-13,94,-42,-327
16,73,-81,-373
-8,65,97,153
-63,-27,46,129
-44,-50,-94,-226
43,-23,-48,-55
-11,-53,-22,29
-48,-67,-99,-211
-46,59,-41,-287
41,77,-46,-251
2,71,53,19
-7,86,79,58
30,-97,59,401
-1,8,-22,-83
-86,30,-11,-179
-56,-52,56,216
37,40,-58,-217
-96,46,-22,-254
-76,-47,-44,-114
67,95,-23,-192
4,76,55,17
-13,-10,53,166
-96,-32,-74,-254
-26,-11,-44,-136
-17,-33,-36,-59
-92,-53,-22,-52
-89,5,67,102
10,-46,-41,-21
-81,-78,-77,-156
90,-68,-24,154
-46,-71,75,321
