faceX,faceY,faceW,faceH,servoPitch,servoYaw
105,357,156,354,180,2.7600000000000002
495,103,353,323,180,0
582,417,147,286,180,0
370,299,62,317,180,0
349,135,269,353,180,0
311,466,46,167,180,0
327,330,65,160,180,0
341,206,178,160,180,0
542,76,256,251,179.61,0
513,304,124,282,180,0
131,208,122,154,180,1.28
501,208,280,114,180,0
474,462,395,336,180,0
193,206,304,242,180,0
110,342,223,173,180,0.99
414,308,167,61,180,0
515,143,264,89,179.47,0
377,261,316,72,180,0
479,384,131,361,180,0
404,399,310,348,180,0
227,105,388,192,179.61,0
454,458,31,67,180,0
482,34,90,243,179.15,0
601,203,362,266,180,0
380,170,125,227,180,0
279,423,256,350,180,0
394,378,369,322,180,0
161,214,256,319,180,0.31
360,272,216,59,180,0
110,392,70,387,180,1.75
529,64,236,66,178.57,0
309,414,147,233,180,0
313,82,257,216,179.5,0
310,354,61,341,180,0
592,140,164,215,180,0
527,84,187,349,180,0
633,309,180,383,180,0
426,71,166,196,179.29,0
576,132,206,187,179.14,0
402,422,274,82,180,0
115,260,188,138,180,1.11
576,159,153,76,179.57,0
554,276,30,261,180,0
486,375,104,350,180,0
185,383,106,283,180,0.8200000000000001
394,217,217,390,180,0
464,232,349,62,180,0
160,424,344,79,180,0
34,378,50,203,180,2.61
519,255,365,357,180,0
551,221,155,84,180,0
217,404,31,264,180,0.88
278,98,331,94,179.05,0
386,7,153,62,177.03,0
311,452,214,213,180,0
110,44,268,52,178.3,0.76
396,230,307,205,179.22,0
125,352,263,49,180,0.64
318,384,279,103,180,0
363,372,104,276,180,0
505,42,38,180,178.92,0
363,226,41,295,180,0
619,290,81,294,180,0
94,55,286,140,178.85,0.8300000000000001
291,94,141,33,177.54999999999998,0.42000000000000004
376,432,361,152,180,0
498,191,158,206,180,0
289,478,251,218,180,0
525,163,158,317,180,0
587,277,233,247,180,0
594,18,56,326,179.41,0
456,265,30,122,180,0
2,158,309,254,180,1.6400000000000001
579,147,67,319,180,0
127,157,132,261,180,1.27
76,269,85,174,180,3.29
487,219,143,246,180,0.9100000000000001
486,201,110,233,180,0
329,3,347,300,179.13,0
114,345,135,267,180,1.3900000000000001
374,430,97,202,180,0.3700000000000001
566,262,376,170,180,0
218,77,42,400,180,0.81
166,97,324,97,179.05,0.7300000000000001
359,346,107,274,180,0
221,319,164,140,180,0.17
379,229,359,242,180,0
194,225,350,249,180,0
272,421,47,242,180,0.25
562,401,185,395,180,0
141,272,47,79,180,1.56
352,34,316,178,178.83,0
437,151,211,102,178.45000000000002,0
296,39,310,88,176.88000000000002,0
122,115,33,393,177.59000000000003,1.82
610,383,235,160,179.82000000000002,0
356,290,163,40,180,0
79,447,37,86,180,2.23
135,241,380,102,180,2.23
190,90,53,169,179.34,3.27
619,366,391,221,180,0
509,259,150,110,180,0
130,239,138,194,180,1.21
383,45,201,172,178.91,0
635,86,363,350,179.12,0
95,75,384,144,178.19,0.33
578,457,251,280,180,0
591,89,368,353,180,0
368,233,239,274,180,0
74,318,209,182,180,1.42
318,341,60,35,180,1.14
51,271,264,303,180,2.51
134,254,217,54,180,3.29
406,133,333,71,179.28,0.77
42,113,329,73,178.37,1.9100000000000001
508,439,53,144,180,0
109,341,258,242,180,0.8200000000000001
321,23,111,143,178.54,0.26
240,240,231,352,180,0
325,391,399,100,180,0
585,352,324,321,180,0
199,174,74,103,179.85,0.84
30,92,156,189,179.31,2.96
402,254,318,196,180,0.5499999999999998
400,401,249,363,180,0
128,362,99,275,180,1.43
118,398,383,83,180,1.54
207,51,46,369,180,2.44
442,216,37,132,180,1.0399999999999998
147,20,90,216,178.88,2.32
348,85,89,138,178.01999999999998,1.5999999999999999
578,431,332,74,180,0
174,22,251,95,178.29,0.21
105,17,312,205,177.07999999999998,0.7999999999999999
556,180,356,258,177.76999999999998,0
425,445,318,232,180,0
158,345,93,145,180,1.16
311,186,104,149,180,0.73
158,329,250,398,180,1.1
80,440,295,116,180,2.0300000000000002
435,142,249,291,180,0
158,47,275,118,178.66,0.25
474,165,235,252,179.17,0
586,153,222,39,178.48999999999998,0
431,179,170,124,178.48999999999998,0
285,262,77,90,179.15999999999997,0
179,364,337,302,180,0
162,345,355,371,180,0
562,225,95,50,180,0
574,324,54,393,180,0
260,181,399,288,180,0
352,9,295,375,179.56,0
144,78,150,306,179.47,1.01
302,117,310,342,179.95,0
150,320,262,398,180,0.39
550,284,340,159,180,0
517,1,59,240,178.81,0
289,7,248,278,177.87,0
34,102,139,134,177.16,2.17
496,397,120,66,179.06,0
408,75,310,136,178.09,0
300,220,220,79,178.28,0
445,268,178,161,179.36,0
214,410,380,336,180,0
99,336,343,39,180,0.5
126,307,151,333,180,1.69
402,182,347,347,180,0
92,92,395,199,179.51,0.31
400,171,79,111,179.37,0
371,56,267,295,179.0,0
89,29,331,73,177.25,0.66
94,87,77,116,176.3,2.54
521,133,147,358,177.02,0
533,451,307,218,180,0
607,418,278,387,180,0
398,126,263,120,179.46,0
496,178,160,193,179.8,0
222,153,220,108,179.47,0
433,75,241,339,179.47,0
42,100,368,268,179.41,0.9400000000000001
131,206,218,66,179.41,1.7400000000000002
12,33,269,204,178.35999999999999,3.4800000000000004
439,91,310,234,178.04,0.7400000000000002
354,250,385,66,178.47,0
215,414,30,126,180,0.9
310,136,397,129,179.6,0
612,420,165,128,180,0
117,437,386,161,180,0.1
120,336,127,165,180,1.4700000000000002
572,8,207,149,178.42,0
606,60,191,251,177.86999999999998,0
633,59,220,207,177.08999999999997,0
308,338,138,171,178.92,0
372,22,107,303,178.25,0
503,262,330,72,178.83,0
257,302,109,33,179.61,0.09
313,399,339,168,180,0
355,83,217,314,180,0
407,49,206,269,179.43,0
558,467,190,238,180,0
439,155,270,291,180,0
247,117,51,260,180,0.48
397,460,144,202,180,0
602,255,217,65,180,0
170,26,326,90,178.31,0
504,292,272,280,180,0
144,93,188,146,179.26,0.8200000000000001
351,362,262,48,180,0
424,260,111,280,180,0
298,129,295,72,179.25,0
286,357,236,246,180,0
464,331,80,113,180,0
498,422,193,281,180,0
173,122,186,366,180,0.54
69,168,370,196,180,1.2000000000000002
533,182,40,220,180,0
571,221,381,270,180,0
613,371,360,37,180,0
625,50,308,31,178.25,0
19,183,370,127,178.31,1.16
53,175,283,68,178.0,2.42
23,90,173,119,177.09,4.529999999999999
511,41,216,395,177.09,1.5399999999999991
55,386,173,347,180,3.329999999999999
293,427,373,70,180,1.739999999999999
108,447,389,272,180,1.919999999999999
594,196,226,143,180,0
343,83,251,246,179.66,0
379,392,184,167,180,0
390,222,144,245,180,0
84,310,206,108,180,1.33
491,158,103,38,179.37,0
576,240,37,89,179.81,0
425,459,62,121,180,0
446,54,237,77,178.52,0
533,465,203,55,180,0
363,71,211,254,179.58,0
575,341,339,300,180,0
401,211,360,31,179.86,0
95,179,164,330,180,1.43
178,269,80,76,180,2.45
228,87,370,38,178.66,1.52
638,108,63,306,178.87,0
553,375,352,99,180,0
450,353,182,348,180,0
430,24,217,389,179.78,0
508,187,251,61,179.55,0
552,29,284,192,178.4,0
318,367,201,123,180,0
223,184,202,183,180,0
130,200,107,215,180,1.37
182,206,55,260,180,2.4800000000000004
156,232,147,194,180,3.3900000000000006
562,97,70,63,178.88,0.6200000000000006
491,444,90,109,180,0
567,234,131,159,180,0
298,194,72,180,180,0
505,132,96,45,179.14,0
411,310,352,382,180,0
494,363,171,302,180,0
53,296,347,323,180,0.9400000000000001
414,61,244,375,180,0
503,121,324,73,179.17,0
604,234,98,246,180,0
625,323,315,144,180,0
66,419,268,164,180,1.2
115,317,128,142,180,2.61
415,434,319,63,180,0.06999999999999984
248,401,215,379,180,0
15,179,210,362,180,2.0
235,187,52,83,179.88,2.59
506,398,143,297,180,0.020000000000000018
104,354,148,270,180,1.44
82,429,80,222,180,3.42
598,75,247,234,179.52,0
602,338,150,146,180,0
451,150,373,365,180,0
296,208,206,280,180,0
599,246,209,47,180,0
323,407,322,67,180,0
387,57,39,70,178.52,0
345,475,131,123,180,0
553,169,45,157,180,0
429,100,137,342,180,0
336,281,131,277,180,0
631,455,267,233,180,0
607,271,291,349,180,0
441,104,172,148,179.38,0
190,249,210,258,180,0.25
124,168,386,223,180,0.25
65,156,117,304,180,2.2199999999999998
366,435,372,228,180,0
229,391,72,56,180,0.55
287,320,387,122,180,0
24,390,79,237,180,2.57
365,75,87,59,178.64,1.69
339,299,321,309,180,0
515,455,379,90,180,0
187,43,102,157,178.81,0.8200000000000001
587,113,275,357,179.32,0
292,150,398,391,180,0
157,113,285,265,180,0.21
520,310,84,38,180,0
357,83,217,387,180,0
288,383,376,151,180,0
253,189,343,240,180,0
365,142,390,212,180,0
473,383,322,207,180,0
627,458,374,50,180,0
447,122,352,197,179.8,0
437,436,111,225,180,0
396,357,350,180,180,0
152,179,292,30,179.54,0.22
557,273,336,142,180,0
337,432,40,245,180,0
109,439,328,170,180,0.47000000000000003
559,403,280,281,180,0
443,473,138,387,180,0
532,166,393,149,180,0
262,231,314,235,180,0
277,232,205,234,180,0
294,19,227,179,178.68,0
282,129,80,124,178.19,0
538,37,319,206,177.19,0
265,157,177,96,176.84,0
31,267,255,197,178.09,1.62
71,181,179,135,178.17000000000002,3.22
4,411,80,68,180,5.98
565,150,242,259,180,2.3200000000000003
273,14,178,362,179.55,1.9000000000000004
364,287,185,92,180,0.5400000000000003
128,190,218,178,180,1.3700000000000003
102,394,140,171,180,2.8500000000000005
311,306,190,264,180,1.9900000000000007
379,414,363,127,180,0
180,462,62,215,180,1.09
357,16,197,148,178.5,0
552,377,332,109,180,0
633,225,232,162,180,0
550,311,384,288,180,0
416,456,183,54,180,0
337,143,277,174,179.9,0
571,105,271,224,179.67000000000002,0
508,319,180,337,180,0
121,337,366,356,180,0.16
5,265,286,287,180,1.88
185,380,189,264,180,2.29
193,145,45,385,180,3.34
357,413,149,181,180,2.2299999999999995
378,104,244,183,179.55,0.4299999999999995
616,56,367,349,179.45000000000002,0
434,252,384,155,180,0
624,404,188,43,180,0
475,321,290,206,180,0
371,284,135,242,180,0
441,408,179,374,180,0
342,54,347,280,179.54,0
574,472,211,200,180,0
504,173,366,331,180,0
406,267,107,355,180,0
420,67,112,144,178.99,0
315,441,315,376,180,0
306,468,178,271,180,0
495,86,332,233,179.62,0
433,291,201,188,180,0
171,133,230,94,179.4,0.34
384,161,221,263,179.92000000000002,0
11,65,221,122,178.78000000000003,1.99
21,213,369,70,178.86000000000004,3.14
618,143,248,359,179.68000000000004,0
363,66,48,302,179.45000000000005,0
199,45,79,296,178.98000000000005,0.8200000000000001
506,382,363,254,180,0
237,167,215,385,180,0
519,270,255,78,180,0
100,18,244,237,178.96,0.98
495,372,286,240,180,0
301,314,172,183,180,0
507,14,95,376,179.62,0
152,106,83,109,178.82,1.27
1,158,166,118,178.59,3.63
340,72,66,348,178.65,3.0999999999999996
540,297,41,340,180,0.6999999999999997
458,281,301,337,180,0
558,102,183,54,178.89,0
224,331,316,146,180,0
279,291,259,45,180,0
372,96,360,120,179.16,0
434,357,373,151,180,0
12,366,81,89,180,2.68
599,346,283,335,180,0
121,172,246,305,180,0.76
488,406,309,139,180,0
304,298,337,148,180,0
325,96,227,67,178.89,0
80,463,398,258,180,0.41000000000000003
154,196,387,276,180,0.14
475,414,173,82,180,0
453,222,315,282,180,0
639,180,106,380,180,0
498,376,293,284,180,0
604,223,111,132,180,0
131,367,269,84,180,0.55
94,404,80,96,180,2.41
31,406,30,387,180,5.15
88,408,53,310,180,7.210000000000001
28,214,146,128,180,9.4
294,168,80,135,180,9.26
552,14,300,189,178.68,5.4399999999999995
177,445,338,370,180,5.18
296,288,83,274,180,5.01
487,223,243,361,180,2.13
370,322,325,323,180,0.009999999999999787
42,169,336,312,180,1.1099999999999999
69,344,100,77,180,3.12
623,167,253,237,180,0
417,252,309,336,180,0
118,311,126,361,180,1.3900000000000001
631,130,124,40,179.1,0
134,449,374,140,180,0
357,12,398,302,179.23,0
176,173,41,134,179.23,1.24
286,192,178,98,179.23,0.69
109,73,339,89,178.0,1.1099999999999999
446,193,341,380,179.43,0
228,479,364,57,180,0
429,95,351,324,180,0
235,461,54,379,180,0.58
38,159,210,295,180,2.35
127,389,348,259,180,2.54
557,395,213,310,180,0
22,216,249,206,180,1.74
304,329,49,387,180,1.66
483,396,169,321,180,0
593,303,396,350,180,0
99,443,364,210,180,0.39
622,349,304,133,180,0
629,14,240,246,178.97,0
637,477,262,103,180,0
250,468,70,320,180,0.35000000000000003
384,352,260,388,180,0
106,419,63,368,180,1.83
493,303,79,298,180,0
175,169,136,179,180,0.77
458,387,197,356,180,0
80,116,279,136,179.44,1.01
78,281,176,356,180,2.55
270,131,382,250,180,1.14
458,355,246,156,180,0
149,273,73,327,180,1.35
67,340,329,329,180,2.24
99,134,243,70,179.29,3.24
264,28,69,212,178.23,3.4600000000000004
199,218,356,251,179.26,2.8900000000000006
599,418,363,140,180,0
453,178,89,203,180,0
17,150,71,348,180,2.68
622,142,351,268,180,0
510,38,190,33,178.14,0
574,371,202,253,180,0
427,67,270,145,178.99,0
160,298,249,294,180,0.36
213,200,51,331,180,1.1800000000000002
565,16,224,314,179.33,0
341,309,316,220,180,0
218,220,118,71,180,0.43
489,198,299,219,180,0
442,443,195,104,180,0
418,27,43,81,178.27,0
406,292,251,32,178.95000000000002,0
258,373,312,118,180,0
256,219,386,198,180,0
115,368,80,168,180,1.6500000000000001
530,425,226,70,180,0
626,62,331,227,179.35,0
255,286,111,63,180,0.1
413,276,68,88,180,0
116,47,386,178,178.96,0.11
224,212,335,380,180,0
575,342,127,358,180,0
409,97,332,116,179.15,0
108,300,286,167,180,0.6900000000000001
16,255,40,322,180,3.53
153,446,88,141,180,4.76
38,416,34,200,180,7.41
169,357,257,134,180,7.640000000000001
92,338,206,181,180,8.89
148,211,63,98,180,10.3
233,412,204,365,180,10.15
354,160,66,383,180,9.48
469,417,267,213,180,6.66
183,36,264,30,178.11,6.66
369,110,311,271,178.11,4.62
121,411,224,363,180,5.49
358,161,249,302,180,3.87
102,229,46,384,180,5.82
338,175,118,223,180,5.050000000000001
423,327,255,293,180,2.7500000000000004
216,430,169,329,180,2.9500000000000006
359,34,397,64,178.26,0.5800000000000005
476,323,246,109,179.63,0
378,300,362,109,180,0
2,379,102,166,180,2.67
355,70,385,286,179.73,0.3999999999999999
285,4,64,357,179.14999999999998,0.3999999999999999
570,449,360,142,180,0
123,360,304,378,180,0.45
616,389,114,369,180,0
8,261,158,339,180,2.33
459,447,137,201,180,0.26000000000000023
279,400,161,135,180,0
39,480,236,91,180,1.6300000000000001
590,177,279,383,180,0
571,316,278,307,180,0
527,74,292,245,179.56,0
546,64,142,81,178.2,0
413,92,186,211,177.76999999999998,0
82,401,340,325,180,0.68
515,84,295,219,179.53,0
210,415,46,252,180,0.87
475,191,239,43,179.72,0
404,213,184,317,180,0
396,302,324,347,180,0
287,170,271,74,179.67,0
640,254,175,54,180,0
447,174,56,233,180,0
386,224,329,37,180,0
448,456,121,66,180,0
93,305,125,212,180,1.6500000000000001
509,80,96,105,178.92,0
188,272,117,290,180,0.74
23,193,267,272,180,2.38
129,46,304,69,178.4,2.77
70,269,148,396,180,4.53
70,431,287,107,180,5.6000000000000005
125,479,207,386,180,6.5200000000000005
68,58,249,104,178.7,7.800000000000001
458,293,124,315,180,5.800000000000001
548,242,242,100,180,2.3100000000000005
107,386,355,76,180,2.6700000000000004
493,421,31,322,180,0.7900000000000003
315,476,82,189,180,0.43000000000000027
141,77,330,336,180,0.5700000000000003
64,314,357,123,180,1.3500000000000003
274,192,251,275,180,0.5600000000000003
461,420,70,154,180,0
209,278,87,305,180,0.68
57,171,53,132,180,3.0500000000000003
420,246,88,253,180,1.6100000000000003
231,105,232,225,179.77,1.3400000000000003
456,427,302,170,180,0
210,156,375,54,179.43,0
198,426,72,92,180,0.86
556,351,76,115,180,0
238,324,107,386,180,0.29
28,357,225,231,180,2.09
154,97,214,370,180,2.6799999999999997
483,287,219,258,180,0
151,320,160,181,180,0.89
272,101,80,243,179.82,0.97
281,421,119,335,180,0.77
296,175,274,122,180,0
80,139,190,200,180,1.45
440,174,159,36,179.52,0
326,402,97,214,180,0
242,261,296,193,180,0
587,398,105,224,180,0
365,101,68,146,179.34,0
310,449,260,142,180,0
274,354,307,136,180,0
295,147,113,289,180,0
236,328,33,337,180,0.68
241,302,182,347,180,0.56
578,48,386,380,180,0
608,436,301,265,180,0
595,48,111,299,179.57,0
145,17,236,307,178.87,0.5700000000000001
380,78,301,249,178.49,0
52,227,209,228,179.5,1.6400000000000001
377,432,211,136,180,0.020000000000000018
258,405,353,202,180,0
630,317,220,36,180,0
474,115,193,167,179.58,0
187,168,351,35,179.03,0
81,12,117,207,177.78,1.81
570,475,150,126,180,0
303,390,111,82,180,0
505,400,174,73,180,0
447,47,256,192,179.03,0
534,81,138,196,178.42,0
132,25,388,334,177.94,0
370,233,53,342,179.57999999999998,0
639,368,273,108,180,0
253,367,242,378,180,0
232,30,235,312,179.46,0
387,59,192,81,178.05,0
223,47,65,204,177.14000000000001,0.65
66,305,240,254,179.06,1.9900000000000002
22,221,193,239,180,4.01
586,446,221,106,180,0.24999999999999956
346,357,257,396,180,0
371,461,46,253,180,0
346,170,87,398,180,0
604,306,196,85,180,0
77,180,243,291,180,1.22
427,308,183,312,180,0
531,41,195,181,178.91,0
618,405,278,393,180,0
20,173,173,220,180,2.14
83,453,109,253,180,3.97
446,246,268,55,180,1.37
273,112,189,66,179.05,0.9000000000000001
91,139,52,118,178.63000000000002,2.9300000000000006
532,138,203,191,178.56000000000003,0
529,104,259,50,177.45000000000002,0
461,81,115,262,177.17000000000002,0
123,100,189,363,177.58,1.03
624,80,310,106,176.51000000000002,0
210,131,136,74,175.79000000000002,0.42
463,104,125,285,175.85000000000002,0
466,42,154,307,175.40000000000003,0
485,442,169,367,179.25000000000003,0
309,330,185,31,180,0
600,405,104,217,180,0
285,66,39,64,178.58,0.16
556,283,64,112,179.57000000000002,0
626,468,341,198,180,0
242,343,42,104,180,0.5700000000000001
357,436,398,182,180,0
217,364,246,164,180,0
379,470,179,124,180,0
157,122,205,360,180,0.61
403,238,68,353,180,0
4,434,341,200,180,1.46
372,251,175,178,180,0.06999999999999984
79,195,158,177,180,1.69
257,315,32,220,180,2.16
344,402,351,330,180,0.17000000000000015
585,112,213,174,179.59,0
19,160,255,266,180,1.74
33,201,319,307,180,3.02
447,447,100,182,180,1.25
546,295,323,359,180,0
402,327,82,369,180,0
508,451,105,372,180,0
144,264,131,91,180,1.11
33,329,250,222,180,2.7300000000000004
253,269,286,118,180,1.9700000000000004
492,441,261,207,180,0
268,138,251,391,180,0
110,143,203,152,179.79,1.09
573,295,91,378,180,0
620,40,284,274,179.37,0
461,172,192,208,179.73000000000002,0
412,305,329,131,180,0
382,250,327,361,180,0
321,2,196,183,178.53,0
26,328,109,95,179.88,2.4
624,131,226,328,180,0
570,438,369,181,180,0
45,337,84,386,180,2.33
303,186,297,212,180,1.02
363,91,109,380,180,0.050000000000000044
171,272,172,125,180,0.68
158,361,300,379,180,0.8
66,319,143,144,180,2.63
443,254,251,269,180,0.1499999999999999
247,142,62,321,180,0.5699999999999998
418,186,385,287,180,0
44,313,254,359,180,1.49
116,237,191,359,180,2.58
421,76,89,312,179.92,1.1300000000000001
374,160,124,216,180,0
468,8,278,356,179.46,0
306,127,75,263,179.64000000000001,0
17,160,92,124,179.46,2.57
329,362,331,162,180,0.8299999999999998
328,62,198,336,179.9,0
16,443,251,172,180,1.79
141,424,344,103,180,1.86
169,230,88,268,180,2.93
476,460,289,142,180,0
162,431,195,132,180,0.61
330,32,234,299,179.41,0
16,59,249,63,177.91,1.8
399,457,253,82,180,0
115,420,207,340,180,1.02
494,238,378,370,180,0
272,379,278,68,180,0
288,469,344,262,180,0
153,53,209,201,179.13,0.63
519,346,119,121,180,0
414,104,223,394,180,0
214,192,381,246,180,0
267,186,80,399,180,0.13
481,457,103,57,180,0
220,414,132,321,180,0.34
451,426,332,360,180,0
189,368,316,208,180,0
0,378,193,202,180,2.24
381,364,73,41,180,1.2700000000000002
574,352,361,340,180,0
233,351,103,131,180,0.36
176,439,209,282,180,0.76
557,309,391,200,180,0
493,106,109,146,179.39,0
639,442,75,377,180,0
272,209,36,231,180,0.3
261,268,365,55,180,0
89,276,383,235,180,0.4
264,266,189,44,180,0.020000000000000018
445,149,170,272,180,0
191,9,238,281,179.09,0.1
301,460,176,319,180,0
629,373,133,399,180,0
377,408,217,323,180,0
579,448,262,108,180,0
446,234,218,347,180,0
246,430,324,117,180,0
6,388,88,266,180,2.7
357,465,170,213,180,1.4800000000000002
268,208,338,209,180,0.3100000000000003
484,250,180,329,180,0
109,305,83,54,180,1.7
474,322,285,237,180,0
589,141,46,229,180,0
268,477,43,206,180,0.31
422,176,217,351,180,0
481,315,113,208,180,0
529,65,230,163,179.06,0
218,314,65,281,180,0.7000000000000001
178,57,232,298,179.66,0.9600000000000001
18,447,75,206,180,3.61
302,227,88,129,180,3.3499999999999996
342,376,159,268,180,2.34
221,328,226,338,180,2.1999999999999997
628,425,270,377,180,0
53,17,86,248,179.01,2.24
231,134,265,153,178.70999999999998,1.8100000000000003
563,63,107,113,177.49999999999997,0
206,258,161,44,177.89999999999998,0.34
469,285,209,135,179.01999999999998,0
415,35,39,228,178.10999999999999,0
202,394,228,67,179.98,0
338,201,372,263,180,0
537,371,397,217,180,0
497,416,377,50,180,0
613,436,262,349,180,0
139,467,175,199,180,0.9400000000000001
635,285,100,33,180,0
19,4,74,108,178.18,2.64
231,471,35,384,180,3.3600000000000003
365,79,340,395,180,1.2100000000000004
83,236,333,300,180,1.9200000000000004
500,43,199,118,178.62,0
219,402,156,115,180,0.23
169,275,96,272,180,1.26
284,230,203,331,180,0.61
550,62,368,162,179.03,0
525,325,201,262,180,0
188,189,352,351,180,0
50,56,166,313,179.72,1.87
97,45,202,81,178.17,3.09
434,406,71,220,180,1.5999999999999999
73,101,90,369,180,3.62
247,471,126,260,180,3.72
322,156,250,236,180,2.45
502,234,268,98,180,0
372,467,145,346,180,0
338,251,295,89,180,0
309,266,141,306,180,0
269,371,45,142,180,0.29
523,354,382,251,180,0
193,318,229,42,180,0.13
51,330,262,343,180,1.5100000000000002
65,293,370,337,180,2.2100000000000004
330,224,230,362,180,0.9600000000000004
220,249,40,146,180,1.7600000000000005
160,206,373,218,180,1.5000000000000004
500,375,269,268,180,0
253,155,320,310,180,0
592,64,262,154,179.01,0
36,39,322,256,178.28,1.23
295,418,186,63,180,0.5499999999999999
166,436,336,132,180,0.4099999999999999
144,51,95,152,178.87,1.7
143,261,102,379,180,2.96
10,208,365,284,180,4.24
473,372,304,311,180,1.19
446,105,188,136,179.33,0
440,345,350,260,180,0
330,479,280,254,180,0
186,442,133,313,180,0.68
119,63,64,354,180,2.37
610,203,246,253,180,0
178,463,178,238,180,0.53
274,305,70,371,180,0.64
329,257,223,168,180,0
100,404,216,210,180,1.12
126,45,400,288,179.49,1.06
401,385,400,186,180,0
278,232,183,46,180,0
336,168,123,294,180,0
197,300,312,159,180,0
551,341,207,166,180,0
394,311,172,222,180,0
584,377,376,344,180,0
600,87,345,65,178.79,0
114,261,186,82,179.41,1.1300000000000001
182,422,156,342,180,1.73
78,404,68,77,180,3.81
267,198,209,372,180,3.3
55,227,82,78,180,5.54
